Name,PŁEĆ,LICZBA_WYSTĄPIEŃ
JULIAN,MĘŻCZYZNA,38403
IGNACY,MĘŻCZYZNA,37100
TYMOTEUSZ,MĘŻCZYZNA,33673
FABIAN,MĘŻCZYZNA,32974
TYMON,MĘŻCZYZNA,32926
BŁAŻEJ,MĘŻCZYZNA,32722
DMYTRO,MĘŻCZYZNA,31355
IVAN,MĘŻCZYZNA,29611
ERYK,MĘŻCZYZNA,28782
EMIL,MĘŻCZYZNA,28224
MYKOLA,MĘŻCZYZNA,26655
VITALII,MĘŻCZYZNA,26029
VASYL,MĘŻCZYZNA,24818
IHOR,MĘŻCZYZNA,24775
LECH,MĘŻCZYZNA,24464
BRONISŁAW,MĘŻCZYZNA,24108
WACŁAW,MĘŻCZYZNA,23826
YURII,MĘŻCZYZNA,23817
OLEH,MĘŻCZYZNA,21789
MAKSYM,MĘŻCZYZNA,21559
BOLESŁAW,MĘŻCZYZNA,20562
NATAN,MĘŻCZYZNA,20540
KSAWERY,MĘŻCZYZNA,20284
MYKHAILO,MĘŻCZYZNA,19796
VIKTOR,MĘŻCZYZNA,19112
REMIGIUSZ,MĘŻCZYZNA,18632
BERNARD,MĘŻCZYZNA,18458
BORYS,MĘŻCZYZNA,18314
OLAF,MĘŻCZYZNA,18047
KAJETAN,MĘŻCZYZNA,16861
EDMUND,MĘŻCZYZNA,16672
VLADYSLAV,MĘŻCZYZNA,15718
BOHDAN,MĘŻCZYZNA,15420
KUBA,MĘŻCZYZNA,15403
LUCJAN,MĘŻCZYZNA,15339
ROMUALD,MĘŻCZYZNA,14671
OLEKSII,MĘŻCZYZNA,14452
ALBERT,MĘŻCZYZNA,14337
TOBIASZ,MĘŻCZYZNA,14279
GRACJAN,MĘŻCZYZNA,14014
RUSLAN,MĘŻCZYZNA,13794
SEWERYN,MĘŻCZYZNA,13737
BRUNO,MĘŻCZYZNA,13566
SZCZEPAN,MĘŻCZYZNA,13462
ALFRED,MĘŻCZYZNA,11981
KORNEL,MĘŻCZYZNA,11402
OLIVIER,MĘŻCZYZNA,11384
JOACHIM,MĘŻCZYZNA,11311
LUDWIK,MĘŻCZYZNA,11127
ERNEST,MĘŻCZYZNA,11059
ALEXANDER,MĘŻCZYZNA,10921
PAVLO,MĘŻCZYZNA,10856
LESŁAW,MĘŻCZYZNA,10749
ARTEM,MĘŻCZYZNA,10720
DENYS,MĘŻCZYZNA,10621
BOGUMIŁ,MĘŻCZYZNA,10584
VADYM,MĘŻCZYZNA,10484
ANATOLII,MĘŻCZYZNA,10458
GERARD,MĘŻCZYZNA,10178
JĘDRZEJ,MĘŻCZYZNA,9983
ALEX,MĘŻCZYZNA,9841
FELIKS,MĘŻCZYZNA,9612
YAROSLAV,MĘŻCZYZNA,9438
DAVID,MĘŻCZYZNA,9300
ALIAKSANDR,MĘŻCZYZNA,9098
PETRO,MĘŻCZYZNA,9064
YEVHEN,MĘŻCZYZNA,8720
LEONARD,MĘŻCZYZNA,8690
JULIUSZ,MĘŻCZYZNA,8490
ANDREI,MĘŻCZYZNA,8195
ALOJZY,MĘŻCZYZNA,7910
VALERII,MĘŻCZYZNA,7825
ALEKS,MĘŻCZYZNA,7798
KLAUDIUSZ,MĘŻCZYZNA,7767
YEVHENII,MĘŻCZYZNA,7686
ANTON,MĘŻCZYZNA,7673
DORIAN,MĘŻCZYZNA,7509
TARAS,MĘŻCZYZNA,7325
OLIVER,MĘŻCZYZNA,7223
TEODOR,MĘŻCZYZNA,7090
NATANIEL,MĘŻCZYZNA,6815
MARTIN,MĘŻCZYZNA,6805
BENEDYKT,MĘŻCZYZNA,6615
DENIS,MĘŻCZYZNA,6478
SIARHEI,MĘŻCZYZNA,6466
KONSTANTY,MĘŻCZYZNA,6395
CYPRIAN,MĘŻCZYZNA,6384
RAJMUND,MĘŻCZYZNA,6331
VIACHESLAV,MĘŻCZYZNA,6296
MICHAEL,MĘŻCZYZNA,6276
GUSTAW,MĘŻCZYZNA,6185
